;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lista de Entes Habilitados/Inabilitados da Complementação da União-VAAT 2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;Código IBGE;Veficação  § 4º do art. 13 da  Lei nº 14.113/20;Pendência identificada;;;;;;;;;;;;
AL;Jundiá;2703908;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Junqueiro;2704005;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Lagoa da Canoa;2704104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Limoeiro de Anadia;2704203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Maceió;2704302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Major Isidoro;2704401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Mar Vermelho;2704906;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Maragogi;2704500;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Maravilha;2704609;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Marechal Deodoro;2704708;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Maribondo;2704807;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Mata Grande;2705002;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Matriz de Camaragibe;2705101;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Messias;2705200;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Minador do Negrão;2705309;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Monteirópolis;2705408;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Murici;2705507;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Novo Lino;2705606;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Olho d'Água das Flores;2705705;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Olho d'Água do Casado;2705804;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Olho d'Água Grande;2705903;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Olivença;2706000;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Ouro Branco;2706109;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Palestina;2706208;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Palmeira dos Índios;2706307;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Pão de Açúcar;2706406;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Pariconha;2706422;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Paripueira;2706448;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Passo de Camaragibe;2706505;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Paulo Jacinto;2706604;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Penedo;2706703;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Piaçabuçu;2706802;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Pilar;2706901;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Pindoba;2707008;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Piranhas;2707107;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Poço das Trincheiras;2707206;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Porto Calvo;2707305;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Porto de Pedras;2707404;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Porto Real do Colégio;2707503;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Quebrangulo;2707602;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Rio Largo;2707701;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Roteiro;2707800;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Santa Luzia do Norte;2707909;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Santana do Ipanema;2708006;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Santana do Mundaú;2708105;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;São Brás;2708204;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;São José da Laje;2708303;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;São José da Tapera;2708402;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;São Luís do Quitunde;2708501;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;São Miguel dos Campos;2708600;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;São Miguel dos Milagres;2708709;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;São Sebastião;2708808;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Satuba;2708907;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Senador Rui Palmeira;2708956;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Tanque d'Arca;2709004;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Taquarana;2709103;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Teotônio Vilela;2709152;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Traipu;2709202;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;União dos Palmares;2709301;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Viçosa;2709400;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Alvarães;1300029;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Amaturá;1300060;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Amazonas;13;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Anamã;1300086;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Anori;1300102;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Apuí;1300144;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Atalaia do Norte;1300201;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Autazes;1300300;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Barcelos;1300409;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Barreirinha;1300508;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Benjamin Constant;1300607;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Beruri;1300631;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Boa Vista do Ramos;1300680;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Boca do Acre;1300706;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Borba;1300805;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Caapiranga;1300839;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Canutama;1300904;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Carauari;1301001;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Careiro;1301100;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Careiro da Várzea;1301159;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Coari;1301209;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Codajás;1301308;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Eirunepé;1301407;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Envira;1301506;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Fonte Boa;1301605;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Guajará;1301654;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Humaitá;1301704;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Ipixuna;1301803;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Iranduba;1301852;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Itacoatiara;1301902;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Itamarati;1301951;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Itapiranga;1302009;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Japurá;1302108;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Juruá;1302207;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Jutaí;1302306;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Lábrea;1302405;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Manacapuru;1302504;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Manaquiri;1302553;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Manaus;1302603;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Manicoré;1302702;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Maraã;1302801;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Maués;1302900;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Nhamundá;1303007;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Nova Olinda do Norte;1303106;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Novo Airão;1303205;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Novo Aripuanã;1303304;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Parintins;1303403;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Pauini;1303502;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Presidente Figueiredo;1303536;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Rio Preto da Eva;1303569;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Santa Isabel do Rio Negro;1303601;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Santo Antônio do Içá;1303700;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;São Gabriel da Cachoeira;1303809;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;São Paulo de Olivença;1303908;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;São Sebastião do Uatumã;1303957;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Silves;1304005;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Tabatinga;1304062;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Tapauá;1304104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Tefé;1304203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Tonantins;1304237;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Uarini;1304260;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Urucará;1304302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AM;Urucurituba;1304401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Amapá;16;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Amapá;1600105;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Calçoene;1600204;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Cutias;1600212;Inobservância do art. 163-A da Constituição Federal.;Enviou a MSC de encerramento com a COTA-PARTE de ICMS zerada ou negativa.;;;;;;;;;;;;
AP;Ferreira Gomes;1600238;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Itaubal;1600253;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Laranjal do Jari;1600279;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Macapá;1600303;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Mazagão;1600402;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Oiapoque;1600501;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Pedra Branca do Amapari;1600154;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Porto Grande;1600535;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Pracuúba;1600550;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Santana;1600600;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Serra do Navio;1600055;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Tartarugalzinho;1600709;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AP;Vitória do Jari;1600808;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Abaíra;2900108;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Abaré;2900207;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Acajutiba;2900306;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Adustina;2900355;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Água Fria;2900405;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Aiquara;2900603;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Alagoinhas;2900702;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Alcobaça;2900801;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Almadina;2900900;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Amargosa;2901007;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Amélia Rodrigues;2901106;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;América Dourada;2901155;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Anagé;2901205;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Andaraí;2901304;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Andorinha;2901353;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Angical;2901403;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Anguera;2901502;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Antas;2901601;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Antônio Cardoso;2901700;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Antônio Gonçalves;2901809;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Aporá;2901908;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Apuarema;2901957;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Araças;2902054;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Aracatu;2902005;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Araci;2902104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Aramari;2902203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Arataca;2902252;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Aratuípe;2902302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Aurelino Leal;2902401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Bahia;29;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Baianópolis;2902500;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Baixa Grande;2902609;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Banzaê;2902658;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Barra;2902708;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Barra da Estiva;2902807;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Barra do Choça;2902906;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Barra do Mendes;2903003;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Barra do Rocha;2903102;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Barreiras;2903201;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Barro Alto;2903235;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Barro Preto;2903300;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Barrocas;2903276;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Belmonte;2903409;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Belo Campo;2903508;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Biritinga;2903607;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Boa Nova;2903706;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Boa Vista do Tupim;2903805;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Bom Jesus da Lapa;2903904;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Bom Jesus da Serra;2903953;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Boninal;2904001;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Bonito;2904050;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Boquira;2904100;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Botuporã;2904209;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Brejões;2904308;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Brejolândia;2904407;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Brotas de Macaúbas;2904506;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Brumado;2904605;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Buerarema;2904704;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Buritirama;2904753;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Caatiba;2904803;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Cabaceiras do Paraguaçu;2904852;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Cachoeira;2904902;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Caculé;2905008;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Caém;2905107;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Caetanos;2905156;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Caetité;2905206;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Cafarnaum;2905305;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Cairu;2905404;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Caldeirão Grande;2905503;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Camacan;2905602;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Camaçari;2905701;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Camamu;2905800;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Campo Alegre de Lourdes;2905909;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Campo Formoso;2906006;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Canápolis;2906105;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Canarana;2906204;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Canavieiras;2906303;"Habilitado mediante Decisão judicial
Conforme Parecer de Força Executória
Ação Judicial 1006511-46.2025.4.01.3301
NUP: 00672.065895/2025-81";Inobservância do art. 38 da Lei nº 14.113/20 - Não transmitiu ao SIOPE os dados do ano de 2024.;;;;;;;;;;;;
BA;Candeal;2906402;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Candeias;2906501;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Candiba;2906600;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Cândido Sales;2906709;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Cansanção;2906808;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Canudos;2906824;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Capela do Alto Alegre;2906857;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Capim Grosso;2906873;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Caraíbas;2906899;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Caravelas;2906907;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Cardeal da Silva;2907004;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Carinhanha;2907103;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Casa Nova;2907202;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Castro Alves;2907301;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
BA;Catolândia;2907400;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
